"Country Code","Country Name","Port Name","Facility Name","IMO Port Facility Number","Description","Longitude","Latitude","Plan Approved?","Initial Approval Date","Review Date","SoC Issue Date","Security Plan Withdrawn?","Withdrawn Date","Last Updated"
"SWE","Sweden","Vastervik","Lucernahamnen","SEVVK-0003","Passengership (incl HSC), Oil tanker, Bulk and other types of ships.","0163900E","574500N","True","23/06/2009 00:00:00","24/11/2025 00:00:00","","False","","24/11/2025 15:22:43"
"SWE","Sweden","Visby","Färjeterminalen Region Gotland","SEVBY-0006","Passenger, Passenger HSC","0181700E","573900N","True","16/06/2017 00:00:00","05/03/2025 00:00:00","","False","","06/03/2025 11:13:11"
"SWE","Sweden","Visby","Holmen","SEVBY-0002","Bulk, cruises","0181700E","573800N","True","01/07/2004 00:00:00","05/03/2025 00:00:00","","False","","13/03/2025 08:43:04"
"SWE","Sweden","Visby","Kryssningskaj","SEVBY-0007","Cruises, ferry","0181700E","573800N","True","12/03/2018 00:00:00","05/03/2025 00:00:00","","False","","06/03/2025 11:05:59"
"SWE","Sweden","Visby","Oljehamnen","SEVBY-0004","Oil","0181700E","573900N","True","01/07/2004 00:00:00","05/03/2025 00:00:00","","False","","06/03/2025 19:38:18"
"SWE","Sweden","Visby","Skeppsbron","SEVBY-0005","Ro-ro, Cruise","0181700E","573900N","True","01/07/2004 00:00:00","05/03/2025 00:00:00","","False","","06/03/2025 11:18:15"
"SWE","Sweden","Wallhamn","Wallhamn","SEWAL-0001","Bulk carrier, Other cargo ship","0114200E","580100N","True","01/07/2004 00:00:00","17/07/2024 00:00:00","","False","","24/09/2024 13:07:20"
"SWE","Sweden","Ystad","Passagerarterminalen","SEYST-0001","Passenger ships (incl HSC) and other types of ships.","0135000E","552600N","True","25/05/2009 00:00:00","27/05/2025 00:00:00","","False","","27/05/2025 12:37:54"
"SWE","Sweden","Ystad","Revhuskajen","SEYST-0005","Bulk and other types of ships","0135000E","552600N","True","25/05/2009 00:00:00","27/05/2025 00:00:00","","False","","09/01/2026 06:56:56"
"SWE","Sweden","Ystad","Västra Terminalen","SEYST-0006","Bulk and other typs of ships","0135000E","552600N","True","25/05/2009 00:00:00","27/05/2025 00:00:00","","False","","27/05/2025 12:39:28"
